,purchase,total_events,unique_products,unique_categories,active_hours,view_count,cart_count,session_count,avg_session_duration,cart_event_ratio,cart_per_product
27924,non_purchase,3,1,1,0.043333333333333335,2,1,1,2.6,0.3333333333333333,1.0
36526,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
16945,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
38293,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
31141,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
1542,non_purchase,6,1,1,286.3691666666667,6,0,6,2863.691666666667,0.0,0.0
5718,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
10872,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
6735,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
7382,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
26622,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
33628,non_purchase,2,2,1,0.0022222222222222222,2,0,1,0.13333333333333333,0.0,0.0
32797,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
116,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
19824,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
17765,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
4769,non_purchase,3,1,1,265.5786111111111,3,0,1,15934.716666666667,0.0,0.0
18220,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
1876,non_purchase,2,1,1,0.01138888888888889,2,0,2,0.3416666666666667,0.0,0.0
14242,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
16259,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
16691,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
3500,non_purchase,3,1,1,0.03777777777777778,3,0,2,1.1333333333333333,0.0,0.0
29465,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
20665,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
16954,non_purchase,2,1,1,30.545277777777777,2,0,2,916.3583333333333,0.0,0.0
34363,non_purchase,2,1,1,50.60055555555556,2,0,2,1518.0166666666669,0.0,0.0
2862,non_purchase,2,2,1,0.0,2,0,2,0.0,0.0,0.0
38022,non_purchase,2,1,1,0.01638888888888889,2,0,1,0.9833333333333334,0.0,0.0
9419,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
